"_id","eqid","classDate","classId","workID","lineid","lineState","linename","qty_IN","qty","calculateQTY","passqty","badnessqty","acQty_IN","actualQty","actuaPassQty","frate","mrate","theoreticalqty","achieverate","yield","onlineInventory","planqty","ddate"
"6819c2b51b1ce60c554feef4","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:05:09"
"6819c2b21b1ce60c554feef3","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:05:06"
"6819c2af1b1ce60c554feef2","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:05:03"
"6819c2a91b1ce60c554feef1","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:57"
"6819c2a31b1ce60c554feef0","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:51"
"6819c2a01b1ce60c554feeef","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:48"
"6819c29a1b1ce60c554feeee","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:42"
"6819c2971b1ce60c554feeed","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:39"
"6819c2911b1ce60c554feeec","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:33"
"6819c28b1b1ce60c554feeeb","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:27"
"6819c2851b1ce60c554feeea","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:21"
"6819c2821b1ce60c554feee9","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:18"
"6819c27c1b1ce60c554feee8","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:12"
"6819c2761b1ce60c554feee7","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:06"
"6819c2701b1ce60c554feee6","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:04:00"
"6819c26d1b1ce60c554feee5","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:57"
"6819c2671b1ce60c554feee4","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:51"
"6819c2611b1ce60c554feee3","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:45"
"6819c25b1b1ce60c554feee2","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:39"
"6819c2581b1ce60c554feee1","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:36"
"6819c2551b1ce60c554feee0","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:33"
"6819c24f1b1ce60c554feedf","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:27"
"6819c24c1b1ce60c554feede","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:24"
"6819c2461b1ce60c554feedd","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:18"
"6819c2401b1ce60c554feedc","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:12"
"6819c23d1b1ce60c554feedb","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:09"
"6819c2371b1ce60c554feeda","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:03"
"6819c2341b1ce60c554feed9","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:03:00"
"6819c2311b1ce60c554feed8","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:57"
"6819c22b1b1ce60c554feed7","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:51"
"6819c2281b1ce60c554feed6","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:48"
"6819c2221b1ce60c554feed5","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:42"
"6819c21c1b1ce60c554feed4","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:36"
"6819c2161b1ce60c554feed3","110","""2025-05-06""","1","1","30","-1","""V04""","-1","0.0","0.0","0.0","0.0","-1","-1","-1","0.0","0.06","0.0","0.0","0.0","0.0","0.0","2025-05-06 16:02:30"
